name,description,category,muscle_group
Squat,"A fundamental compound leg exercise; feet shoulder-width, drive hips back and down, then push through heels to stand.","strength","quadriceps, glutes"  
Deadlift,"Hinge at hips with neutral spine, lift barbell from ground by extending hips and knees.","strength","hamstrings, glutes, lower back"  
Bench Press,"Lie on bench, lower bar to chest, press back up to full arm extension.","strength","pectorals, triceps, shoulders"  
Bent-Over Row,"Hinge forward at hips, pull bar or dumbbells to lower ribs, squeezing shoulder blades.","strength","lats, rhomboids, biceps"  
Overhead Press,"Press barbell or dumbbells overhead from shoulder height until arms are locked.","strength","shoulders, triceps"  
Biceps Curl,"Curl dumbbells or barbell from thigh to shoulder level with supinated grip.","strength","biceps"  
Tricep Dip,"Support body on parallel bars, lower until elbows ~90°, then press back up.","strength","triceps, chest"  
Jump Rope,"Continuous rope-turning jump to elevate heart rate and build coordination.","cardio","full body"  
Running,"Sustained forward leg drive at moderate to fast pace to improve cardiovascular fitness.","cardio","legs, core"  
Swimming,"Full-body aquatic exercise using strokes like freestyle to build endurance.","cardio","full body"  
Burpees,"From standing, drop to plank, perform a push-up, return to standing with a jump.","cardio","full body"  
Mountain Climber,"From plank position, alternate driving knees toward chest at a running pace.","cardio","core, shoulders, legs"  
Hamstring Stretch,"Standing or seated, extend one leg and reach toward toes to feel stretch in back of thigh.","flexibility","hamstrings"  
Quadriceps Stretch,"Standing, bend one knee and pull foot toward glutes to stretch front of thigh.","flexibility","quadriceps"  
Shoulder Stretch,"Cross one arm across chest, use opposite arm to pull it closer.","flexibility","shoulders"  
Hip Flexor Stretch,"Kneel on one knee, push hips forward while keeping torso upright.","flexibility","hip flexors"  
Chest Stretch,"Stand in a doorway, place forearms on frame and lean forward to open chest.","flexibility","pectorals"  
